type,exchange,symbol,timestamp,side,bids,asks,price,size
snapshot,binance,BTC/USDT,1700000000000,,"[[99999.99, 0.527], [99998.86, 3.1404], [99997.32, 2.0343], [99992.54, 1.6814], [99994.85, 0.2099], [99989.59, 4.1407], [99982.07, 4.1942], [99982.76, 2.1042], [99989.57, 2.2734], [99986.08, 2.9537]]","[[100000.01, 4.8224], [100002.27, 2.2283], [100002.85, 4.6329], [100004.95, 0.4391], [100009.21, 0.7664], [100007.98, 1.9569], [100007.59, 0.7061], [100013.88, 2.2739], [100009.84, 4.4778], [100016.18, 2.1118]]",,
incremental,binance,BTC/USDT,1700000000100,bid,,,99999.99,0.0
incremental,binance,BTC/USDT,1700000000200,ask,,,100000.01,0.0
incremental,binance,BTC/USDT,1700000000300,ask,,,100006.35,1.5499
incremental,binance,BTC/USDT,1700000000400,ask,,,100012.1,1.5956
incremental,binance,BTC/USDT,1700000000500,bid,,,99985.18,4.0376
incremental,binance,BTC/USDT,1700000000600,bid,,,99980.87,2.2009
incremental,binance,BTC/USDT,1700000000700,bid,,,99982.33,2.2396
incremental,binance,BTC/USDT,1700000000800,ask,,,100002.4,1.2927
incremental,binance,BTC/USDT,1700000000900,bid,,,99997.05,4.4215
incremental,binance,BTC/USDT,1700000001000,ask,,,100009.84,0.0
incremental,binance,BTC/USDT,1700000001100,bid,,,99998.86,0.0
incremental,binance,BTC/USDT,1700000001200,ask,,,100009.72,0.1904
incremental,binance,BTC/USDT,1700000001300,bid,,,99987.78,4.8974
incremental,binance,BTC/USDT,1700000001400,ask,,,100018.51,1.8993
incremental,binance,BTC/USDT,1700000001500,ask,,,100002.4,0.0
incremental,binance,BTC/USDT,1700000001600,ask,,,100009.72,0.0
incremental,binance,BTC/USDT,1700000001700,bid,,,99992.48,2.6232
incremental,binance,BTC/USDT,1700000001800,bid,,,99984.7,2.6888
incremental,binance,BTC/USDT,1700000001900,ask,,,100004.94,3.7741
incremental,binance,BTC/USDT,1700000002000,ask,,,100008.73,2.4156
incremental,binance,BTC/USDT,1700000002100,ask,,,100005.55,0.5612
incremental,binance,BTC/USDT,1700000002200,bid,,,99981.96,3.5676
incremental,binance,BTC/USDT,1700000002300,bid,,,99982.7,1.1113
incremental,binance,BTC/USDT,1700000002400,ask,,,100015.43,2.6347
incremental,binance,BTC/USDT,1700000002500,bid,,,99991.64,0.6473
